,index,brand,colors,name,prices.isSale,MedianPrice
269,4713,Reebok,White,Reebok Work N Cushion Kc Women W Round Toe Synthetic White Work Shoe,TRUE,29.99
270,4714,Reebok,White,Reebok Work N Cushion Kc Women W Round Toe Synthetic White Work Shoe,FALSE,60.0
271,4715,Reebok,White,Reebok Work N Cushion Kc Women W Round Toe Synthetic White Work Shoe,FALSE,26.99
272,4716,Reebok,White,Reebok Work N Cushion Kc Women W Round Toe Synthetic White Work Shoe,TRUE,41.98
273,4789,MUK LUKS,Blue,Muk Luks - Stretch Satin Ballerina Slippers,FALSE,22.94
274,4790,MUK LUKS,Blue,Muk Luks - Stretch Satin Ballerina Slippers,FALSE,22.95
275,4791,MUK LUKS,Blue,Muk Luks - Stretch Satin Ballerina Slippers,FALSE,19.87
276,4803,ELLIE SHOES,White,Juliet Adult Shoes,FALSE,28.64
277,4811,TOMS,Beige,Toms Strappy Wedge Women  Open Toe Canvas  Wedge Sandal,TRUE,39.99
278,4812,TOMS,Beige,Toms Strappy Wedge Women  Open Toe Canvas  Wedge Sandal,FALSE,89.0
279,4899,Vince Camuto,Black,Vince Camuto Tiernan   Open-toe Patent Leather  Slingback Heel,FALSE,17.99
280,5023,Vince Camuto,Blue,Vince Camuto Faran Women  Open Toe Suede  Wedge Heel,TRUE,53.99
282,5035,Unique Bargains,Black,G Antini Ladies Translucent Slim High Heel Pointed Toe Pumps (size 7.5),TRUE,30.26
283,5036,Unique Bargains,Black,G Antini Ladies Translucent Slim High Heel Pointed Toe Pumps (size 7.5),FALSE,60.99
285,5150,Alfani,Black,Alfani Jemsey  Women  Round Toe Synthetic Black Knee High Boot,TRUE,29.99
287,5152,Alfani,Black,Alfani Jemsey  Women  Round Toe Synthetic Black Knee High Boot,TRUE,17.99
288,5186,Easy Spirit,Black,Easy Spirit Davita   Open Toe Suede  Wedge Heel,TRUE,21.99
289,5187,Easy Spirit,Black,Easy Spirit Davita   Open Toe Suede  Wedge Heel,FALSE,79.0
290,5195,TOMS,Brown,Toms Solana Flip Flop Open Toe Canvas Flip Flop Sandal,FALSE,24.21
291,5196,TOMS,Brown,Toms Solana Flip Flop Open Toe Canvas Flip Flop Sandal,TRUE,24.99
292,5197,TOMS,Brown,Toms Solana Flip Flop Open Toe Canvas Flip Flop Sandal,TRUE,33.98
293,5198,TOMS,Brown,Toms Solana Flip Flop Open Toe Canvas Flip Flop Sandal,FALSE,39.0
294,5265,Nine West,Brown,Nine West Ticktock Women Us 7.5 Brown Slides Sandal Pre Owned 1695,FALSE,5.99
295,5319,Easy Spirit,Brown,Easy Spirit Vitaro   Open-toe Leather  Slingback Sandal,FALSE,41.99
296,5366,Style & Co.,Black,Style & Co Andoraa   Open-toe Synthetic  Heels,FALSE,59.0
297,5467,Unique Bargains,Blue,Woman Faux Suede Casual Pointed Slip On Ballet Flat Blue Us 9,FALSE,39.99
298,5468,Unique Bargains,Blue,Woman Faux Suede Casual Pointed Slip On Ballet Flat Blue Us 9,TRUE,19.89
300,5528,Nine West,Beige,Nine West Ally Sway   Open Toe Canvas  Sandals,TRUE,51.99
301,5541,Easy Spirit,White,Easy Spirit Sand Castle   Open-toe Leather  Sport Sandal,FALSE,69.0
302,5542,Easy Spirit,White,Easy Spirit Sand Castle   Open-toe Leather  Sport Sandal,TRUE,24.99
303,5543,Easy Spirit,White,Easy Spirit Sand Castle   Open-toe Leather  Sport Sandal,TRUE,23.99
304,5585,Nine West,Black,Nine West Shape Up Women  Open Toe Suede Black Sandals,TRUE,43.99
305,5586,Nine West,Black,Nine West Shape Up Women  Open Toe Suede Black Sandals,FALSE,90.0
306,5720,VANS,White,Vans Authentic Slim   Round Toe Leather  Sneakers,FALSE,45.0
307,5721,VANS,White,Vans Authentic Slim   Round Toe Leather  Sneakers,TRUE,35.99
308,5780,Nike,Blue,New Nike Tiempo Genio Fg Womens Leather Soccer Cleats - Blue / Volt - Size 7.5,FALSE,28.8
309,5826,VANS,Black,Vans Unisex Authentic Sneakers,TRUE,34.99
310,5827,VANS,Black,Vans Unisex Authentic Sneakers,FALSE,65.0
312,5915,Bongo,Black,Bongo Women's Skyler Black Studded-strap Sandal,FALSE,39.99
313,5918,Brinley Co.,Brown,Brinley Co. Womens Wide Calf Slouchy Buckle Detail Boots,FALSE,49.99
314,6088,Nine West,Black,Nwb Nine West Optimistic (women's) Size 10 M Wedge Heel Booties,FALSE,64.99
315,6113,TOMS,Brown,Womens Toms Lunata Fringe Ankle Booties - Cognac Suede,FALSE,89.0
316,6132,Vince Camuto,Brown,Vince Camuto Mertella2 Women  Open Toe Canvas  Sandals,TRUE,19.99
317,6133,Vince Camuto,Brown,Vince Camuto Mertella2 Women  Open Toe Canvas  Sandals,FALSE,79.0
318,6159,Nine West,Black,Nine West  Selena Women  Pointed Toe Leather Black Heels,TRUE,42.99
319,6160,Nine West,Black,Nine West  Selena Women  Pointed Toe Leather Black Heels,FALSE,79.0
320,6183,Easy Spirit,Black,Easy Spirit Sapi  2a Round Toe Canvas  Sneakers,TRUE,45.98
321,6184,Easy Spirit,Black,Easy Spirit Sapi  2a Round Toe Canvas  Sneakers,TRUE,20.99
322,6185,Easy Spirit,Black,Easy Spirit Sapi  2a Round Toe Canvas  Sneakers,FALSE,75.0
324,6251,Nine West,Brown,Nine West Kassy   Round Toe Leather  Ankle Boot,TRUE,72.99
325,6292,Easy Spirit,Black,Easy Spirit Panga   Open-toe Leather  Flats,TRUE,45.98
326,6293,Easy Spirit,Black,Easy Spirit Panga   Open-toe Leather  Flats,FALSE,69.0
327,6294,Easy Spirit,Black,Easy Spirit Panga   Open-toe Leather  Flats,TRUE,6.99
328,6295,Easy Spirit,Black,Easy Spirit Panga   Open-toe Leather  Flats,TRUE,33.99
329,6296,Easy Spirit,Black,Easy Spirit Panga   Open-toe Leather  Flats,TRUE,8.99
330,6364,VANS,Black,Vans Authentic   Round Toe Canvas  Skate Shoe,TRUE,59.98
331,6365,VANS,Black,Vans Authentic   Round Toe Canvas  Skate Shoe,TRUE,47.99
332,6366,VANS,Black,Vans Authentic   Round Toe Canvas  Skate Shoe,FALSE,60.0
334,6407,Bongo,Black,Bongo Women's Prana Black Cushioned Slingback Sandal,FALSE,16.99
335,6408,Bongo,Black,Bongo Women's Prana Black Cushioned Slingback Sandal,TRUE,12.99
336,6467,Alfani,Red,Alfani Morgin   Open-toe Suede  Mules,FALSE,75.0
337,6468,Alfani,Red,Alfani Morgin   Open-toe Suede  Mules,TRUE,18.99
338,6506,Unique Bargains,Beige,Unique Bargains Women's Rounded Toe Mid Heel Length Ankle Strap Pumps Beige (size 7.5),TRUE,29.4
339,6507,Unique Bargains,Beige,Unique Bargains Women's Rounded Toe Mid Heel Length Ankle Strap Pumps Beige (size 7.5),FALSE,58.99
340,6508,VANS,Black,Vans Atwood  Women  Round Toe Canvas Black Skate Shoe,TRUE,34.99
